essay_id;essay_theme;discipline_name;essay_text;teacher_baho_1
416;Афкори ахлқи мутаваккирони форсу тоҷик;Этика ва эстетика;Мутафаккирони форсу точик: Фороби, Ибни Сино, Газзоли ва гайра.;3
417;Афкори ахлқи мутаваккирони форсу тоҷик;Этика ва эстетика;Афкор ахлоқи мутафаккирони форсу тоҷик дар асрҳои гузашта маълум аст ки намунаи ахлоқи мутафаккирони форсу тоҷикон машҳур шудани. Одобу ахлоқ тарбияи хуби форсу тоҷикон эътибори калон метияд, ки падару модарон фарзандони худро аз кӯдаки ахлоқу одоб тарбияашро нигоҳ мекунад дар ҳамин сабаб бисёр шоирону олимони бузург ва табибони бузург Абӯалӣ ибни Сино ҳам намунаи форсу тоҷикро ба дунё машҳур кардаанд.;3
418;Афкори ахлқи мутаваккирони форсу тоҷик;Этика ва эстетика; Этика ва эстетика ин фан дар бораи зебогӣ, ахлоқ, дониш, афкор ва ғайра мебошад.  Афкори ахлоқии мутафаккирони форсу тоҷик ин худ Форобӣ, Ибни Сино ва Ғаззомӣ мебошанд, ки онҳо бисёр саҳми худро гузоштанд.  Истилоҳи ахлоқ аз забони арабӣ гирифта шудааст. Категорияҳои асосии ахлоқ инҳо мебошанд: некӣ,бадӣ,адолат,виҷдон,қарз.;8
419;Афкори Ахлоқии  Мутафаккирони форсу тоҷик;Этика ва эстетика;Зебоишиноси - ин худ як хусни инсон хам ботинан ва хам зохиран мебошад,  ки инсон метаонад бо хусни худ  симои худва бо зебогии худ зебо бошад. Калимаи зебо маънояш танхо зохири зебо будан нест, балки хар як инсон бояд ботини зебо бошад.  Зебоишиноси - ин худ як хусни инсон хам ботинан ва хам зохиран мебошад,  ки инсон метаонад бо хусни худ  симои худва бо зебогии худ зебо бошад. Калимаи зебо маънояш танхо зохири зебо будан нест, балки хар як инсон бояд ботини зебо бошад;4
420;Афкори ахлоқии мутафаккирони тоҷику форс;Этика ва эстетика;"Мутафаккирони ва олимони форсу тоҷик бо хулқу рафтори нек ва бо асарҳои нодирашон шӯҳрати ҷаҳонӣ касб кардаанд. Ба ин қатор метавон аз Абӯрайҳони Берунӣ, Ибни Сино, Форобӣ, Тусӣ, Фирдавси, Ғаззолӣ ва дигаронро номбурд. Маҳз бо асарҳои барҷастаашон тавонистанд дар замони худашон ва дар замони ҳозира хонандаи бешумор пайдо кунанд.  Имрӯз китобҳои Ибни Сино китоби рӯи мизии ҳар табиби тоҷику ғайри тоҷик мебошад. Асарҳояш сарчашмаи асосӣ барои донишҷӯёни тиб бошад. Ин ҳама аз шӯҳрат ва тавононии Ибни Сино шаҳодат медиҳад. Мардуми тоҷик аз қадимулайём ҷасур тавоно буданд ва инро Фирдавсии ҳакимов тавассути асари безаволаш ""Шоҳнома"" барои ҷаҳониён муаррифи кард. Дар асари мазкур оиди мардуми форсу тоҷик, хулқу атворашон, тавоноӣ ва дигар хусусиятҳои некӣ инсонӣ таҷассум гардидааст. ";6
421;Афкори сиёсии мутафаккирони форсу тољик;Сиёсатшиносӣ;"Дар асари ""Политика"" Арасту мафҳуми сиёсатро шарҳ додагӣ. Афкори мутафаккирони форсу тоҷик дар асари ""Низом-ул-мулк"" оварда шудааст. Мутафаккирони форсу тоҷик, Ибни Сино, Форобӣ ва ғайраҳо ба ҳисоб меравад. Дар асарҳои худ, яъне дар давраи ҳамин замон мафҳуми сиёёсатро шарҳ дода ба илм ворид кардаанд. Дар Ҷумҳурии Тоҷикистон илми сиёсатшиносӣ солҳои 90 - уми асри xx таълим дода мешуд. Илми сиёсат ин сиёсатшиносӣ мебошад. Мафҳуми ""сиёсат"" аз калимаи юнонӣ ""politika"" - маънояш идора кардан мебошад. ";5
422;Афкори сиёсии мутафаккирони форсу тоҷик;Сиёсатшиносӣ;Вақт нарасид.;0
423;Ахлоқ ва зебоишиносӣ ҳамчун унсури фарҳанг;Этика ва эстетика;Таърихи таълимоти ахлоқӣ;5
424;Ахлоқ ва зебоишиносӣ ҳамчун унсури фарҳанг;Этика ва эстетика;Илми ахлоқ ё худ этика калимаи арабии ахлоқи гирифта шуда маънояш хулқ, одат, рафтор, кирдор мебошад. Ва дар забони тоҷики бошад сират ва суратро ифода мекунад.сират ин олами ботинии инсонро ифода кунад пас сурат олами зоҳирии онро инъикос мекунад. Ахлоқ ва зебоишиносӣ яке аз унсурҳои фарҳанги инсон ба шумор меравад. Масалан  инсон агар дорои ахлоқи ҳамида  бошад ва этикаро либоспӯши донад ва фарҳангу хулқу накӯ дошта бошад дар ҳама соҳаҳои фаъолияташ ба муваффақиятҳои ноил мегардад ва агар баракс аз ин гуна сифатҳо бебаҳра бошад дар ҳама гуна корҳо ба нокомиҳо дучор мешавад. Ҳар як инсон бояд зебоишинос бошад,  тозаву озода баргардад ва инчунии хулқу атвори нек дошта бошад то ки дар ҷамъият шармандаву шарссонагардад.;4
425;Ахлоқ ва зебоишиносӣ ҳамчун унсури фарҳанг;Этика ва эстетика;Ахлоқ ва зебоишиносӣ ҳамчун унсури фарҳанг;6
426;Ахлоқ ҳамчун илм;Этика ва эстетика;Зебоишиноси - ин худ як хусни инсон хам ботинан ва хам зохиран мебошад,  ки инсон метаонад бо хусни худ  симои худва бо зебогии худ зебо бошад. Калимаи зебо маънояш танхо зохири зебо будан нест, балки хар як инсон бояд ботини зебо бошад. Зебоишиноси - ин худ як хусни инсон хам ботинан ва хам зохиран мебошад,  ки инсон метаонад бо хусни худ  симои худва бо зебогии худ зебо бошад. Калимаи зебо маънояш танхо зохири зебо будан нест, балки хар як инсон бояд ботини зебо бошад.;5
427;Ахлоқ ҳамчун илм;Этика ва эстетика;Зебоишиноси - ин худ як хусни инсон хам ботинан ва хам зохиран мебошад,  ки инсон метаонад бо хусни худ  симои худва бо зебогии худ зебо бошад. Калимаи зебо маънояш танхо зохири зебо будан нест, балки хар як инсон бояд ботини зебо бошад;5
428;Ахлоқ ҳамчун илм;Этика ва эстетика;Зебоишиноси - ин худ як хусни инсон хам ботинан ва хам зохиран мебошад,  ки инсон метаонад бо хусни худ  симои худва бо зебогии худ зебо бошад.;5
429;Ахлоқ ҳамчун илм;Этика ва эстетика;Ахлоқ ин тарбия мебошад. Ахлоқи инсон ҳархела мебошад. Дар ҷомеа инсонҳое ҳастанд, ки ахлоқи намунавӣ доранд. Инсон бояд хулқу ахлоқи хуб бояд дошта бошад. Ахлоқ ҳамчун илм яъне ҳар як инсон бояд бо маданият, бо тамиз, дар ҷамъият рафтори хуб дошта бошад. Ахлоқро бояд аз овони хурдсоли омӯзонд.;3
430;Ахлоқ ҳамчун илм;Этика ва эстетика;Ахлоқ дар баъзе одамҳо мавҷуд нест. Ахлоқ ба одамҳои ба тарбия ва баодоб ахлоқашон мебошад. Ахлоқ гуфта масалан дар ягон ҷой ё ин ки дар ҷойҳои ҷамъият раванд дар он ҷо бо  ахлоқоно худро ба даст гирифта гӯш  карда шинад ва бо тартиб бошад. Агар одам бе илм бошад пеш рафта наметавонад. ;3
431;Ахлоқ ҳамчун илм;Этика ва эстетика;Агар мо донишҷӯёнда ахлоқ набошад илман намешад барои ҳамчун ҳам аввалин дараҷа ахлоқи инсон 1 дараҷа мешаванд баъд илм мешавад. Ахлоқу одоби нағз ба илми нағз оварда мерасонад.;3
432;Ахлоқ ҳамчун падида ҳаёти маънави инсон;Этика ва эстетика;Этика ва эстетика мачмуи хиссиётхои муайян нормахо принсипхо гояхо ки тавассути он субъект ва олами хайру шар инъикос мегардад. Мунтазамнокии асоси , ки нигахдори ва нигохбони шаъну шараф, кадру киммат ва покии шахсият аст. Этика хамчун ислохоти илми ахлок ва чониби ки амал чори карда мешвад. Этика бо якчоягии фаннхои чудогона санъатшиноси инкишоф меёбад.;8
433;Ахлоқ ҳамчун падида ҳаёти маънави инсон;Этика ва эстетика;Фанни этика ва эстетика вазифаи он дар он иборат аст ки омӯхтани ахлоқу рафтори ҷамъият мебошад. Ахлоқ ҳамчун падидаи ҳаёти маънавии инсон мебошад. Ахлоқи касби яке аз шохаҳои этика ва эстетика буда ва тахриб дуру  дарозро дорад. Ахлоқи касби дар ҳаёти инсонӣ ҷойи ва роли муҳимро мебозад. Ахлоқи касбии инсон дар ҳаёти ӯ барои ишғол кардан дараҷаҳои баландтарини ӯ кӯмак мерасонад. Ахлоқ яке аз элементи асосии дар фанни этика ва эстетика мебошад. Дар эстетика асосан ахлоқи касбӣ ахлоқи гуфтугӯи ахлоқи хониш омӯхта мешавад.;3
434;Ахлоқ ҳамчун падида ҳаёти маънави инсон;Этика ва эстетика;Истилохи ахлок аз забони араби гирифта шуда маънояш ду хел мешаад, ахлоки хуб ва ахлоки бад, иборат мебошад, ин одату рафтор ва кирдори хар як шахсро ифода мекунад.;4
435;Ахлоқ ҳамчун падида ҳаёти маънави инсон;Этика ва эстетика;Ахлоқи ӯ ба роҳи нек, хубби, хубрафторӣ, неккорӣ ва савобкорӣ розандозӣ мекунад. Ҳама ин корҳо бо ҳамдигар ба рафтори нек рафтор карда ба саханҳои нек ва зебо суханронӣ кунад. Ҷавонон бояд ба пиронсолон суханҳои нек гӯянд. Ҳурмат кунанд.;3
436;Ахлоқ ҳамчун падида ҳаёти маънави инсон;Этика ва эстетика;"Ахлоқ-аз калимаи арабӣ ""ахлоқ"" ҷамъият ""хулқ"" ба ҳисоб рафта, рафтору кирдор, одобро меомӯзад. Ахлоқ яке аз шаклҳои шуури ҷамъиятӣ маҷмӯи норма ва қоидаҳои асосии муносибати ҳамдигари оилавӣ ва ҷамъиятии одамонро меомӯзад. Ахлоқ бунёди тамаддуни инсонист яке аз шаклҳои шуури ҷамъиятӣ ва муносибатҳои иҷтимоӣ буда барои ҳифз ва бузургдошт қадри инсон худшиносӣ ва саодат хизмат намуда ба роҳи мардумӣ яъне зиндагии оқилона ҳидоят мекунанд.";5
437;Ахлоқ ҳамчун падида ҳаёти маънави инсон;Этика ва эстетика;Ахлоқ ҳамчун падида ҳаёти маънави инсон гуфта ахлоқи инсониро меноманд. Ба инсон ахлоқи ҳамида хеле зарур мебошад.;2
438;Ахлоқ ҳамчун падида ҳаёти маънави инсон;Этика ва эстетика;Ахлоқ ҳамчун падида ҳаёти маънави инсон;3
439;Ахлоқ ҳамчун падида ҳаёти маънави инсон;Этика ва эстетика;Ахлоқ ин падидаи инсони мебошад. Ҳар як инсон бояд одобу ахлоқи намунавие дошта бошад. Мо ба инсон барои ҳусну ҷамолаш ва тарзи либоспӯшиаш баҳо додан мумкин нест мо инсонро ба одобу ахлоқаш нигоҳ карда онро баҳо медиҳем. Инсон авал аз сухан кардан одобу ахлоқи сухан гуфтанро бояд донад. Бузургон гуфтаанд 7 бор чен кун 1 бор бур. Пештар одобу ахлоқ дар ҷои авал буд ҳозир бошад торафт аз байн рафта истодааст ва ин аз чи сабаб бошад. Ҳама чиз одобу ахлоқи худро дорад. Мисол фарзанд дар назди падару модар бояд бо овози паст сухан кунед. Этика ва эстетика бисёр фанни хуб мебошад фанни ҳаёти пешрафта аст.;4
440;Ахлоқ ҳамчун падида ҳаёти маънави инсон;Этика ва эстетика;Адаб тоҷест аз нури илоҳи, Бинеҳ бар сар бирав ҳар ҷо ки хоҳи.;3
441;Ахлоқ ҳамчун падида ҳаёти маънави инсон;Этика ва эстетика; Эстетика бо якҷоягии фанни адабиётшиносӣ инкишоф меёбад.;2
442;Ахлоқи Ғарб;Этика ва эстетика;Этика ҳамчун илм дар даврае ташаккул ёфт, ки ҳаволии сохти авлодӣ қабилавӣ ва пайдоиши ғуломдорӣ барвақт оғоз гашт. Дар асри 7 то охири ҳокими Ошур Ашигунбангол дар Менис китобхонаи бузургеро ташкил кард, ки дар он зиёда аз 25 000 тахтачаҳои гелей хати мехи сабтшуда буданд. Дар ҷомеаи муосир зери мафҳуми этика илм махсусан дониш анъанавии маънавии ниёгони фаҳмида мешавад, ки ба нигоҳдошти муносибатҳо кӯмак мерасонад ва меъёрҳои ахлоқиро дар ин ҷомеаи ахлоқи Ғарб дар бар мегирад.;5
443;Ахлоқи Ғарб;Этика ва эстетика;Этика ҳамчун илм дар даврае ташаккул ёфт, ки заволи сохти авлодӣ- қабилавӣ ва пайдоиши ғуломдории барвақт оғоз гашт. Дар асри 7 то мелод охирин ҳокими Ошур китобхонаи бузургро ташкил кард, ки он зиёда аз 25000 китоб дошт. Ба ин замон ҷомеа тасаввуроти густаридае дар соҳаи қадиме чун қисса дар бораи Гилгамеш осори адаби барвақти қонунҳои дар ҷомеаи бостонӣ қабулшуда, мақолаву зарбулмасалҳо низоми мутараққии ривоятӣ ва монанди инҳо ифода ёфтанд.;3
444;Ахлоқи Ғарб;Этика ва эстетика;Этика ва эстетика ин маданияти урфу одат, тарзи зиинадг, фикррони тарзи либоспуши хуллас маданияту маърифатро меомузонад. Маданияти гарб тахминан то карни 21 ба чояг макомаш набуд. Аз асри 21 сар карда маданияти гарб ба пеши рафт ру ба тарикки ниход. Тарзи зиндагии нав, урфу одат, маданияти либоспуши ва ба таври умум маданияти ахлоки гарби ба таракки расид;3
445;Ахлоқи Ғарб;Этика ва эстетика;Ҳадафи барои этика ва эстетика барои ҷалб кардани таваҷҷӯҳ ба иттилооти ахлоқӣ барои фаъолияти ахлоқи барои эҷодиёти мустақилонаи оянда аст. Дар натиҷаи омӯзиши курс ва лексияҳои этика ва эстетика ман фаҳмидам, ки таълимоти ахлоқи калидӣ ҳадафи рушди ахлоқи ҷомеа марҳилаҳои асосии рушди халқу обод. Моҳияти асосии ахлоқӣ. Фарқи этика ва эстетика илм дар бораи ахлоқ (хулқу одоб) мебошад. Вожаи этика аз калимаи юнонӣ (ethos) гирифта шудааст. Маънояш ҷои истиқомат, хона, лонаи паррандагон мебошад. Ахлоқ дар навбати худ ба ду гурӯҳ ҷудо мешавад. Шуури ахлоқи шахсият. Шуури ахлоқи ҷамъият. Ахлоқ аз калимаи арабӣ гирифта шуда, маънояш адаб мебошад. Ахлоқи ғарб яке аз пешрафтаҳои ахлоқӣ дар давраҳои худ мебошад. Аввалин бор этика ва эстетика ҳам дар тарафҳои давлати ғарб инкишоф ёфтааст.;4
446;Ахлоқи Ғарб;Этика ва эстетика;Дар Ғарб дар Ҷаҳон пеш рафта дар ҳаёти инсон ахлоқ муҳимтарин ҳаёти ҷомеа ба шумор меравад. Ҳамчун падидаи одамонро фаро мегирад. Дар ҷомеа шахс нест, ки бо сару кор надошта бошад. Новобаста аз хоҳишашон одамон ба ин ё он сатҳ бо ахлоқ ҷудо шуда меистанд.;3
447;Ахлоқи Ғарб;Этика ва эстетика;Ахлоқи Ғарб аз ахлоқи дигар мамлакатҳо шууран фарқ мекард. Яъне онҳо калонсолон ва хурдсолонро ҳурмату эҳтиром мекунанд. Мисол: Онҳо аввал маротиба худро баланд мебардоранд. Яъне аввал мехоҳанд, хона мегиранд, маблағ тӯб мекунанд ва баъдан ба сохтани оила шурӯъ мекунад. ;4
448;Ахлоқи Ғарб;Этика ва эстетика;Ахлоқи Ғарб;0
449;Ахлоқи Ғарб;Этика ва эстетика;Аслан маънои этика ва эстетика ин тарзи дурусти маданияти либоспуши, тарзи дуруст харф задан маданиятнок будани инсонро этикаю эсетика гуфтан хам дуруст аст. Умуман услуб ва ахлоки мамлакатхои гарб аз руи инсондусти ва эътироф кардани миллатхои гуногун тамоми чахонро эътироф мекунанд. Саёхон бехуда, нест ки асосан ба мамлакатхои ба мисли Амрко, Бразилия, Канада ва дигар кишвархо мераванд. Ахлоку маданият онхо демократи мебошад. Таърихнигори ахлоки Амрикои Франклин гуфтааст. Ахлоки инсонро кор дар;4
450;Ахлоқи касбӣ;Этика ва эстетика;Кодексҳои рафториро, ки характери хулқии муносибатҳои тарафайни байни одамонро дар фаъолияти касбӣ таъмин мекунанд, этикаи касбӣ меноманд. Этикаи педагогӣ ва арзишҳои ахлоқиро мавридҳои баррасӣ қарор медиҳад. Низоми тасаввуротҳоро дар бораи некию бадӣ, адолат ва шаъшу шараф, ки чун баҳодиҳии хоссаи характерӣ падидаҳо шаъни ахлоқи ва рафтори инсон баромад мекунанд, метавон арзишҳои ахлоқи номид. ;4
451;Ахлоқи касбӣ;Этика ва эстетика;Инсоният яке аз мавҷудоти нодир ва беназир дар табиат ба ҳисоб меравад ва аз дигар мавҷудоти табиат бо ахлоқи худ фарқ мекунад. Ахлоқ як қисми ҷудо нашавандаи инсон ба ҳисоб рафта, бо ахлоқ ва одобу худ дар табиат умр ба сар мебарад. Ҳар як инсон дорои ахлоқи касбӣ мебошад ва дар табиат одамонро аз якдигар бо одоб ва ахлоқи касбӣ фарқ мекунанд. Агар мо ба ҳаёти имрӯзаи худ назар намоем, мебинем, ки дар ҷамъият одамонро бо одоб ва ахлоқи касбӣ ҷудо мекунанд. Он шахсоне, ки дорои ахлоқи касбӣ ҳастанд, дар ҷамъият мақому манзалати хело баландро сазовор ҳастанд ва боиси ифтихор ва ҷамъият мебошад.;5
452;Ахлоқи касбӣ;Этика ва эстетика;Дар бораи Ахлоқи касбӣ мо метавонем инро мисол орем, ки ахлоқи касбӣ гуфта, дониш, илм, тафаккур, ки ҳар як инсон бо шуур ва бо ақл бояд бошад. Ба ахлоқи касбӣ мо боз тарзи дуруст сухангӯиро низ мисол оварда метавонем. Ҳар як инсон бояд аз чорчӯбаи ахлоқи касбӣ набарояд ва дар вақти бо ягон нафар сухан гуфтан бояд этика ва эстетикаро ба ҷо орад ва бо он шахсе ки он шахс сухан меронад дағалона сухан набояд гӯяд. Ба ахлоқи касбӣ инсон тарзи дуруст пӯшидани сару либос низ ба этика ва эстетика дохил мешавад. Тарзи дуруст ва ё бо нутқ сухан гуфтан ин ҳам этика номида мешавад. Категорияҳо рафтореро, ки характеру хулқи муносибатҳои тарафайни одамонро дар фаъолияти касбӣ таъмин мекунад, этикаи касбӣ меноманд. ;5
453;Ахлоқи касбӣ;Этика ва эстетика;Ахлоқи касбӣ ин як дониш илм ва амал мебошад, ки ин се чиз ба ҳам алоқаи зич доранд. Масалан мо барои омӯхтани касб ба назди устои моҳир меравем, ки ба мақсади омӯхтани касб ва инчунин ахлоқ мо бояд ба устоди худ ҳурмату эҳтиром дошта бошем ба касби худ ахлоқии ҳамида чӣ хеле, ки олим мутафаккири бузург Зардушт мегӯяд: Пиндори нек, Гуфтори нек, рафтори нек. Ҳар як нафар ба касби худ ахлоқи ҳамида ва шавқи худ ва ҳурмату эҳтироми касби худро дошта бошад. ;3
454;Ахлоқи касбӣ;Этика ва эстетика;Ахлоқи касбӣ ин ахлоқи ҳамидаи инсонӣ мебошад. Дар он тарзи рафтору кирдор ва инчунин чӣ гуна будани инсонро мефаҳмонад. Ҳар як инсон бояд бо касби худ меҳр шавқу рағбат дошта бошад ва инчунин касбашро дӯст дорад. Агар бо касби худ шавқу майл надорад ӯ наметавонад бо хушбахтӣ кору фаъолият кунад ва ҳар  яки мо бояд дар корхона дар назди коргарон боманию бо ахлоқ бошем ва ҳатман вожаи хонаводаи мо бо корхонаи мо таъсир нарасонад ва дар корхона ҳатман мо боахлоқ бомани ва хушбахтона рафтор кунем, ки то рафтору кирдори мо ба дигарон таъсири мусбӣ нарасонад. Ҳамаи мо хуб медонем, ки ҳар як инсон як намуд касбро дӯст медорад ва бо он кору фаъолият мебарад, мо чунин инсон шавем, ки ба насли ояндаамон намуна гардем.      ;4
455;Ахлоқи касбӣ;Этика ва эстетика;Ахлоқи касбӣ гуфта инсонро мехуронад, мепӯшонад. Ахлоқ ва одоб намуди зоҳирии инсонро нишон медиҳад. Ахлоқи касбӣ ин касби бо интизом бо тартиб мебошад. Агар инсон ахлоқ надошта бошад худро дар дарун ҷамъият шаъну нарафашро мерезонад. Ахлоқи касбӣ интизом оиларо дар дарун ҷамъият нишон медиҳад.;5
456;Ахлоқи касбӣ;Этика ва эстетика;Ахлоқи касбӣ бо этикаи педагогӣ алоқаманд мебошанд. Кодексҳои рафториро,  ки характери ҳулқии муносибати байни одамон дар фаъолияти касбии худ таъмин мекунад ахлоқи касбӣ меноманд. Этикаи педагогӣ низоми муносибатҳои некию бадӣ, адолат, шаъну шараф ва рафтори ахлоқии инсонро мефаҳмонад. Боз этикаи хидматӣ низ ҳаст, ки он васеъ тобеи дин мебошад.;3
457;Ахлоқи касбӣ;Этика ва эстетика;Ахлоқ ин як хислати хуби инсон ё бади инсон шуда метавонад. Ахлоқи касбӣ метавонад инсонро ба дараҷаи олии инсонӣ расонида метавонад. Маданияти ахлоқи касбӣ ташаккул додани ҳаёти ҷамъиятӣ мебоша,ки нигоҳ доштани ягонагии ҷомеа ва ҳамкории байни ҷузъҳои он ва дар барқарор намудани муносибат ва ахлоқи касбӣ роли калонро мебозад.;3
458;Ахлоқи касбӣ;Этика ва эстетика;Ахлоқ ин рафтор, хулқ, маданият, муносибати шахс ба дигарон ва муҳити атроф маънидод кардан мумкин. Касб ин маҳорати иҷроиши омилҳои қадам ба қадам кор. Ахлоқи касбӣ, муносибат, рафтор, тарзи иҷрои кор, омаи шахси касбдор. Ҳадафи курси этика ҷалб кардани таваҷҷуҳ ба иттилооти ахлоқӣ барои эҷодиёти мустақилонаи оянда. Аз худнамои арзишҳои ахлоқӣ гузориши онҳо ба маъниҳои шахсияти ҳар як инсон дар назар дорад.;4
459;Ахлоқи касбӣ;Этика ва эстетика;Аз худ намоии арзишҳои ахлоқи гузариши онҳоро ба маъноҳои шахсияти ҳар як инсон дар назар дорад. Дар натиҷаи омӯзиш зарурист таълимоти ахлоқи намуди марҳилаҳои асосии рушди хулқу одоб хусусияти хулқу одоб хусусиятҳои хоси ахлоқ дар дастгоҳи мафҳуми мақулавии он муҳтавои арзишҳои олии ахлоқи мебошад. Этика таълимоти фалсафа дар бораи ахлоқ мебошад.;3
460;Ахлоқи касбӣ;Этика ва эстетика;Аз пайдоиши одам ба зарурати корӣ пайдо шуда то ҳозиразамон нисбат ба ахлоқи касбӣ бояд дарк намуда ба ҳама тааллуқ дорад. Ахлоқи касбӣ бояд дар ҳама ҷо амалӣ ва қарор доштанаш лозим. Қонуни Вазорати Ҷумҳурии Тоҷикистон барои омода ва иҷро намудани ахлоқи касбӣ зиммаи асосиро ба ҳисоб мегирад. Дар муассисаҳо ва донишкадаҳо ҷавонони ҳозиразамон фанни этика ва эстетикаро ҳамчун ба амали зиндагиашон омӯхта истодаанд. Халқи тоҷик аз қадимҳо тарзи ин коргарии ахлоқи касбро дарк намуда то ҳол ба амал нишон медиҳанд.;5
461;Ахлоқи касбӣ ва хизмати давлатӣ;Этика ва эстетика;Ахлоқи касбӣ ва хизмати давлатӣ  худи ахлоқ ин маҷмӯи далелҳои дорои ахлоқӣ буда , аз тарафи ҷомеа баҳогузорӣ карда мешавад. Ҳар як инсонро аз рӯи одоб ва ахлоқи ҳамидааш баҳо медиҳанд. Ахлоқи касбӣ бошад бояд ҳар як шахс дар баробари соҳибкасб буданаш дорои ахлоқ низ бошад. Агар дорои ахлоқи хуб ва ҳамида бошад соҳиби обрӯ ва эътибори хосса мегардад. Хизмати давлатиро бошад бе ахлоқ тасаввур кардан ғайриимкон аст, зеро аввал ахлоқ баъд давлат. Вақте ки ахлоқу одоб набошад ҷомеа рӯ ба нестӣ меорад, ки дубора эҳё кардани ҷомеаи нестшуда ғайриимкон мегардад. ;5
462;Ахлоқи касбӣ ва хизмати давлатӣ;Этика ва эстетика;Ахлоки касби ин хар як касб зебогии худро дорад. Мафхуми ахлок ин мазмуни рафтор, кирдор , ботини хар як инсон назар дорад. Хар як касб масъулаш худро дорад. Асоси ахлок илм ин ахлок аст. Олим шудан осон одам шудан кин.;4
463;Ахлоқи касбӣ ва хизмати давлатӣ;Этика ва эстетика;Ахлоки касби ва хизматрасони давлати. Ахлоки касби яке аз мухимтарин омилхо буда, бояд хар як шахс донистан шарт ва зарур мебошад. Хизмати давлати хар як шахсванди Чумхурии Точикистон бояд хизмат ба давлат карданаш зарур аст, зеро ки карз мебошад, Мо чавонон бояд ахлоки касби ва хизмати давлатиро ичро карданамон зарур аст.;3
464;Ахлоқи касбӣ ва хизматии давлатӣ;Этика ва эстетика;Таърихи таълимоти ахлоқӣ;4
465;Ахлоқи касбӣ ва хизматии давлатӣ;Этика ва эстетика;Ахлоқи касбӣ ва хизматии давлатиҳар шахсба худкасб ва фаҳмиши пурра дорад. Ҳар шахс касбӣ худро дорад ахлоқи касбӣ ва бо шавқу завқи кори худро дӯст медорад. Ҳар шахс бо касбӣхуд ба давлатӣ худ хизматрасонида метавонад, чи тавр хизмат расонида метавонад. Агар ба худ даромадсозем, яъне ҳар яки мо корхона созем ба давлат ҳам даромад мешавад. Агар ҳар яки мо ба касбӣ худ чунин корҳоро кунем налоги давлатамон паст мешавад агар сарчашма бисёр шавад зиёда аз 95%-и даромади давлатамоназ налог мебошад. Ҳар инсон бо касбӣ худ хизмат расонида метавонад.;3
466;Аҳамияти илми ахлоқ;Этика ва эстетика;Иҷро кардани қоидаҳои ахлоқ ин илми этика мебошад. Этика аз калимаи арабӣ гирифта шуда маънояш ахлоқ мебошад. Бо воситаи ахлоқи одамон низ илм ба вуҷуд омода аст. Инсон бо воситаи этикаи худро баланд мегардонад. Ҳисси зебогиву зебопарастӣ инсонро низ меомӯзад. 2500 сол пеш ин илмро ба тарзи омӯзиши шурӯъ намудаанд ;4
467;Аҳд ва намудҳои он;Ҳуқуқ;Ҳуқуқ ин низоми қоидаҳои ба ҳама ҳатмии рафтор буда аз тарафи давлат қабул муқаррар ва тасдиқ карда мешавад. Аҳдбанди метавонад бо тариқи хаттӣ ё розигии тарафҳо баста мешавад. Худ аҳд барои бехатар ё аниқ додани манфиатҳои тарафҳо баста мешавад. Аҳд метавонад дарозмуддат ё кӯтоҳ шавад. Барои бастани аҳд ҳарду тараф пешниҳод хоҳиши худро баён мекунанд ва бо имзои тарафҳо эътибор пайдо мекунад. ;5
468;Аҳд ва намудҳои он;Ҳуқуқ;Ҳуқуқ ин низоми қоидаҳои ба ҳама ҳатмии рафтор буда аз тарафи давлат қабул муқаррар ва тасдиқ карда мешавад ва муносибатҳои муҳими ҷамъиятиро ба танзим медарорад.  Аҳд ду намуд мешавад : дутарафа ва бисёртарафа. Аҳднома асосан байни шаҳрвандон ва шахсони ҳуқуқи бо мақсади муқаррар кардани шарту шароити масъалаи мавриди аҳд баста мешавад. ;5
469;Аҳд ва намудҳои он;Ҳуқуқ;Ҳуқуқ ин низоми қоидаҳои ба ҳама ҳатмии рафтор буда аз тарафи давлат қабул муқаррар ва тасдиқ карда мешавад ва муносибатҳои муҳими ҷамъиятиро ба танзим медарорад.  Аҳд ду намуд мешавад : дутарафа ва бисёртарафа. Аҳднома асосан байни шаҳрвандон ва шахсони ҳуқуқи бо мақсади муқаррар кардани шарту шароити масъалаи мавриди аҳд баста мешавад. ;3
470;Аҳд ва намудҳои он;Ҳуқуқ;Ҳуқуқ ин низоми қоидаҳои ба ҳама ҳатмии рафтор буда аз тарафи давлат қабул муқаррар ва тасдиқ карда мешавад ва муносибатҳои муҳими ҷамъиятиро ба танзим медарорад.  Аҳд ду намуд мешавад : дутарафа ва бисёртарафа. Аҳднома асосан байни шаҳрвандон ва шахсони ҳуқуқи бо мақсади муқаррар кардани шарту шароити масъалаи мавриди аҳд баста мешавад. ;3
471;Аҳд ва намудҳои он;Ҳуқуқ;Ҳуқуқ ин низоми қоидаҳои ба ҳама ҳатмии рафтор буда аз тарафи давлат қабул муқаррар ва тасдиқ карда мешавад ва муносибатҳои муҳими ҷамъиятиро ба танзим медарорад.  Аҳд ду намуд мешавад : дутарафа ва бисёртарафа. Аҳднома асосан байни шаҳрвандон ва шахсони ҳуқуқи бо мақсади муқаррар кардани шарту шароити масъалаи мавриди аҳд баста мешавад. ;0
